Volume,CO2
1000,99
1200,95
1500,105
1600,109
1300,102
900,88
1400,104
1800,115
2000,125
1100,98
1150,100
1250,101
1350,103
1450,106
1550,108
1650,110
1750,113
1850,117
1950,120
2050,127
1000,96
1020,97
1040,98
1060,98
1080,99
1120,100
1180,101
1220,103
1260,104
1320,106
1380,108
1420,109
1480,111
1520,112
1580,114
1620,116
1680,118
1720,119
1780,121
1820,122
1880,124
1920,126
1980,128
2020,129
2100,131
950,90
980,92
1010,95
1030,96
1070,97
1090,98
1130,99
1170,100
1190,101
1230,102
1270,103
1290,104
1330,105
1370,106
1410,108
1430,109
1470,110
1490,111
1530,112
1570,113
1590,114
1610,115
1630,116
1670,117
1690,118
1710,119
1730,120
1770,121
1790,122
1810,123
1830,124
1870,125
1890,126
1910,127
1930,128
1970,129
1990,130
2010,131
2070,132
2090,133
2110,134
920,89
940,90
960,91
970,91
990,92
995,93
1005,94
1025,95
1050,96
1065,97
1085,98
1105,99
1140,100
1160,101
1210,102
1240,103
1280,104
1310,105
1340,106
1360,107
1390,108
1440,109
1460,110
1510,111
1540,112
1560,113
1640,114
1660,115
1700,116
1740,117
1760,118
1860,119
1900,120
1940,121
1960,122
2080,123
2120,124

